video_id,manipulation_type,class_label,total_frames,frames_sampled,frames_with_face,face_detection_rate,brightness_mean,brightness_std,brightness_min,brightness_max,optical_flow_mean,optical_flow_std,optical_flow_min,optical_flow_max,ear_mean,ear_std,ear_min,ear_max,landmark_disp_mean,landmark_disp_std,landmark_disp_min,landmark_disp_max,dct_low_mean,dct_low_std,dct_high_mean,dct_high_std,lm_ratio_var,lm_face_asym,lbp_chi_dist
4,original,real,309.0,61.0,61.0,1.0,56.1656,10.6143,44.9076,70.2288,0.6536,0.6588,0.1138,4.015,0.2854,0.039,0.2038,0.3923,9.56,9.2667,0.5721,40.6329,46521.0602,11444.8953,1673.2101,79.5282,0.00010074760296700784,0.21159357340770407,0.005463662770583565
8,original,real,637.0,100.0,100.0,1.0,118.4797,4.0754,113.7676,126.0793,0.2788,0.262,0.0216,1.2373,0.3032,0.0384,0.2172,0.4027,2.3698,1.609,0.3124,7.7599,56371.87,1878.2955,1307.7595,35.5488,0.00037568720565302893,0.1186956905574845,0.003105681531522226
9,original,real,588.0,100.0,100.0,1.0,66.9064,0.4072,65.4708,67.7706,0.3235,0.2301,0.0744,1.3091,0.2461,0.0379,0.1184,0.3425,3.1652,2.5687,0.7346,15.337,54667.1012,646.7191,2211.752,56.9705,6.004290833980146e-05,0.10290852670426343,0.004996811710571361
15,original,real,437.0,87.0,87.0,1.0,67.5509,0.2799,66.8568,68.3442,0.8644,0.2239,0.4534,1.6633,0.2611,0.0483,0.1425,0.3731,6.2401,3.8051,1.0433,19.7685,43842.9408,516.4791,1865.7627,67.2609,0.0001339274666142682,0.20828697182356043,0.0074617676609808475
27,original,real,315.0,63.0,60.0,0.9524,143.3809,0.7972,140.6841,145.4946,1.3828,0.6326,0.526,3.2479,0.3119,0.0588,0.1896,0.426,8.8479,8.3334,1.0165,39.7699,85912.8529,895.6088,1783.0877,71.6286,0.00022278323589566536,0.21335295681795063,0.005000889689485331
32,original,real,310.0,62.0,62.0,1.0,103.723,1.869,101.496,110.4145,0.9743,0.8366,0.1328,3.3599,0.2652,0.0543,0.0796,0.3547,7.8658,7.1911,1.8153,43.2874,52033.4862,2311.5954,1228.6377,64.7352,0.00030345308827755207,0.09875620026793866,0.004984798740629511
33,original,real,809.0,100.0,100.0,1.0,91.7954,1.6627,87.0894,94.3028,0.5729,0.4914,0.0119,2.5096,0.2474,0.0362,0.1302,0.3189,2.7334,2.3056,0.436,13.7996,49396.5508,1352.2903,2311.5729,172.6005,0.00029727838347024595,0.09014694582638273,0.003332897592762187
35,original,real,423.0,84.0,84.0,1.0,80.2883,0.9394,77.658,81.9093,0.3449,0.2289,0.0428,1.1625,0.3117,0.0332,0.2085,0.3746,4.1846,4.0891,0.9036,22.4103,51933.4193,204.7942,816.4339,14.5463,4.37699160287933e-05,0.17289373695941432,0.004180431147851656
36,original,real,337.0,67.0,67.0,1.0,109.095,2.6059,105.7101,113.5828,1.6091,0.4955,0.6797,3.0765,0.2999,0.0305,0.1988,0.364,5.1725,3.8198,0.6223,14.1964,64468.9945,2164.822,993.3959,106.8272,0.0005249658338727018,0.09304417719736124,0.00302041910407597
44,original,real,335.0,67.0,67.0,1.0,123.0097,2.5412,116.961,128.08,1.2,0.6178,0.2758,3.0624,0.2975,0.053,0.1168,0.3696,12.842,9.0164,3.1727,34.3485,64222.2164,1372.7275,1066.4359,53.3373,0.0005431312787934954,0.08947220307333459,0.003613046098421485
