feature,sw_p_real,sw_p_fake,both_normal,mw_stat,mw_p,cohens_d,retain,mw_p_bh_corrected,retain_bh
face_detection_rate,0.0,0.0,False,78834.5,0.335698,0.006,False,0.997052,False
brightness_mean,0.004772,0.0,False,79934.5,0.985805,0.0017,False,0.997052,False
brightness_std,0.0,0.0,False,80271.5,0.940868,0.0034,False,0.997052,False
brightness_min,0.001279,0.0,False,79836.0,0.964303,0.0036,False,0.997052,False
brightness_max,0.004327,0.0,False,80014.0,0.997052,0.0002,False,0.997052,False
optical_flow_mean,0.0,0.0,False,80226.5,0.950673,0.0004,False,0.997052,False
optical_flow_std,0.0,0.0,False,79911.5,0.980783,0.0156,False,0.997052,False
optical_flow_min,0.0,0.0,False,79712.0,0.937275,0.0107,False,0.997052,False
optical_flow_max,0.0,0.0,False,80964.0,0.791985,0.0007,False,0.997052,False
ear_mean,0.283306,0.062258,True,80881.0,0.809544,0.0269,False,0.997052,False
ear_std,0.0,0.0,False,100507.0,0.0,0.4542,False,0.0,False
ear_min,0.010025,0.000392,False,66212.5,0.000161,0.2843,False,0.001691,False
ear_max,0.411839,0.332695,True,88942.5,0.014379,0.1879,False,0.100653,False
landmark_disp_mean,0.0,0.0,False,82487.5,0.496028,0.0515,False,0.997052,False
landmark_disp_std,0.0,0.0,False,82183.5,0.550147,0.0673,False,0.997052,False
landmark_disp_min,0.0,0.0,False,80088.0,0.980892,0.0252,False,0.997052,False
landmark_disp_max,0.0,0.0,False,83720.5,0.308557,0.0841,False,0.997052,False
dct_low_mean,0.148497,1.8e-05,False,79912.0,0.980892,0.0016,False,0.997052,False
dct_low_std,0.0,0.0,False,80506.0,0.88995,0.0094,False,0.997052,False
dct_high_mean,0.554546,0.000384,False,79740.0,0.943373,0.0077,False,0.997052,False
dct_high_std,0.0,0.0,False,80511.0,0.888868,0.0014,False,0.997052,False
